Image,lon,lat
478.jpg,73.84,18.52
479.jpg,73.84,18.52
48.jpg,73.84201,18.52265
480.jpg,73.84,18.52
481.jpg,73.84,18.52
482.jpg,73.84,18.52
483.jpg,73.84,18.52
484.jpg,73.84,18.52
485.jpg,73.84,18.52
486.jpg,73.84,18.52
487.jpg,73.84,18.52
488.jpg,73.84,18.52
489.jpg,73.84,18.52
49.jpg,73.84201,18.52265
490.jpg,73.84,18.52
491.jpg,73.84,18.52
492.jpg,73.84,18.52
493.jpg,73.84,18.52
494.jpg,73.84,18.52
495.jpg,73.84,18.52
496.jpg,73.84,18.52
497.jpg,73.84946,18.52248
498.jpg,73.84939,18.52249
499.jpg,73.84939,18.52249
5.jpg,73.84201,18.52265
50.jpg,73.84201,18.52265
500.jpg,73.84939,18.52249
501.jpg,73.84939,18.52249
502.jpg,73.8494,18.52249
503.jpg,73.84937,18.52249
504.jpg,73.84981,18.52078
505.jpg,73.84939,18.52249
506.jpg,73.8494,18.52249
507.jpg,73.8494,18.52249
508.jpg,73.84938,18.52227
509.jpg,73.8494,18.52237
51.jpg,73.84201,18.52265
510.jpg,73.8516,18.52721
511.jpg,73.8516,18.52721
512.jpg,73.8516,18.52721
513.jpg,73.8516,18.52721
514.jpg,73.8516,18.52721
515.jpg,73.8516,18.52721
516.jpg,73.8516,18.52721
517.jpg,73.8516,18.52721
518.jpg,73.8516,18.52721
519.jpg,73.8516,18.52721
52.jpg,73.84201,18.52265
520.jpg,73.8516,18.52721
521.jpg,73.8516,18.52721
522.jpg,73.8516,18.52721
523.jpg,73.8516,18.52721
524.jpg,73.8516,18.52721
525.jpg,73.8516,18.52721
526.jpg,73.8516,18.52721
527.jpg,73.8516,18.52721
528.jpg,73.8516,18.52721
529.jpg,73.8516,18.52721
53.jpg,73.84201,18.52265
530.jpg,73.8516,18.52721
531.jpg,73.8516,18.52721
532.jpg,73.8516,18.52721
533.jpg,73.8516,18.52721
534.jpg,73.8516,18.52721
535.jpg,73.8516,18.52721
536.jpg,73.8516,18.52721
537.jpg,73.8516,18.52721
538.jpg,73.8516,18.52721
539.jpg,73.8516,18.52721
54.jpg,73.84201,18.52265
540.jpg,73.8516,18.52721
541.jpg,73.8516,18.52721
542.jpg,73.8516,18.52721
543.jpg,73.8516,18.52721
544.jpg,73.8516,18.52721
545.jpg,73.8516,18.52721
546.jpg,73.8516,18.52721
547.jpg,73.8516,18.52721
548.jpg,73.8516,18.52721
549.jpg,73.8516,18.52721
55.jpg,73.84201,18.52265
550.jpg,73.84769,18.52546
551.jpg,73.84769,18.52546
552.jpg,73.84769,18.52546
553.jpg,73.84769,18.52546
554.jpg,73.84769,18.52546
555.jpg,73.84769,18.52546
556.jpg,73.84769,18.52546
557.jpg,73.84769,18.52546
558.jpg,73.84769,18.52546
559.jpg,73.84769,18.52546
56.jpg,73.84201,18.52265
560.jpg,73.84769,18.52546
561.jpg,73.84769,18.52546
562.jpg,73.84769,18.52546
563.jpg,73.84769,18.52546
564.jpg,73.84769,18.52546
565.jpg,73.84769,18.52546
566.jpg,73.84769,18.52546
567.jpg,73.84769,18.52546
568.jpg,73.84769,18.52546
569.jpg,73.84769,18.52546
57.jpg,73.84201,18.52265
570.jpg,73.84769,18.52546
571.jpg,73.84769,18.52546
572.jpg,73.84769,18.52546
573.jpg,73.84769,18.52546
574.jpg,73.84769,18.52546
575.jpg,73.84769,18.52546
576.jpg,73.84769,18.52546
577.jpg,73.84769,18.52546
578.jpg,73.84769,18.52546
579.jpg,73.84769,18.52546
58.jpg,73.84201,18.52265
580.jpg,73.84769,18.52546
581.jpg,73.84769,18.52546
582.jpg,73.84769,18.52546
583.jpg,73.84769,18.52546
584.jpg,73.84769,18.52546
585.jpg,73.84769,18.52546
586.jpg,73.84769,18.52546
587.jpg,73.84769,18.52546
588.jpg,73.84769,18.52546
589.jpg,73.84769,18.52546
59.jpg,73.84201,18.52265
590.jpg,73.84769,18.52546
591.jpg,73.84769,18.52546
592.jpg,73.84769,18.52546
593.jpg,73.84769,18.52546
594.jpg,73.84769,18.52546
595.jpg,73.84769,18.52546
596.jpg,73.84769,18.52546
597.jpg,73.84769,18.52546
598.jpg,73.85,18.52
599.jpg,73.85,18.52
6.jpg,73.84201,18.52265
60.jpg,73.84201,18.52265
600.jpg,73.85,18.52
601.jpg,73.85,18.52
602.jpg,73.85,18.52
