Image,Latitude,Longitude
351.jpg,18.52306,73.84747
352.jpg,18.52306,73.84747
353.jpg,18.52306,73.84747
354.jpg,18.52306,73.84747
355.jpg,18.52306,73.84747
356.jpg,18.52306,73.84747
357.jpg,18.52306,73.84747
358.jpg,18.52306,73.84747
359.jpg,18.52306,73.84747
36.jpg,18.52265,73.84201
360.jpg,18.52306,73.84747
361.jpg,18.52306,73.84747
362.jpg,18.52306,73.84747
363.jpg,18.52306,73.84747
364.jpg,18.52306,73.84747
365.jpg,18.52306,73.84747
366.jpg,18.52306,73.84747
367.jpg,18.52306,73.84747
368.jpg,18.52306,73.84747
369.jpg,18.52306,73.84747
37.jpg,18.52265,73.84201
370.jpg,18.52306,73.84747
371.jpg,18.52306,73.84747
372.jpg,18.52306,73.84747
373.jpg,18.52306,73.84747
374.jpg,18.52306,73.84747
375.jpg,18.52306,73.84747
38.jpg,18.52265,73.84201
39.jpg,18.52265,73.84201
392.jpg,18.52306,73.84747
393.jpg,18.52306,73.84747
394.jpg,18.52306,73.84747
395.jpg,18.52306,73.84747
396.jpg,18.52306,73.84747
397.jpg,18.52306,73.84747
398.jpg,18.52306,73.84747
399.jpg,18.52306,73.84747
4.jpg,18.52265,73.84201
40.jpg,18.52265,73.84201
400.jpg,18.52306,73.84747
401.jpg,18.52306,73.84747
402.jpg,18.52306,73.84747
403.jpg,18.52306,73.84747
404.jpg,18.52306,73.84747
405.jpg,18.52306,73.84747
406.jpg,18.52306,73.84747
407.jpg,18.52306,73.84747
408.jpg,18.52306,73.84747
409.jpg,18.52306,73.84747
41.jpg,18.52265,73.84201
410.jpg,18.52306,73.84747
411.jpg,18.52306,73.84747
412.jpg,18.52306,73.84747
413.jpg,18.52306,73.84747
414.jpg,18.52306,73.84747
415.jpg,18.52306,73.84747
416.jpg,18.52306,73.84747
417.jpg,18.52306,73.84747
418.jpg,18.52306,73.84747
419.jpg,18.52306,73.84747
42.jpg,18.52265,73.84201
420.jpg,18.52306,73.84747
421.jpg,18.52306,73.84747
422.jpg,18.52306,73.84747
423.jpg,18.52306,73.84747
424.jpg,18.52306,73.84747
425.jpg,18.52306,73.84747
426.jpg,18.52306,73.84747
427.jpg,18.52306,73.84747
428.jpg,18.52306,73.84747
429.jpg,18.52306,73.84747
43.jpg,18.52265,73.84201
430.jpg,18.52306,73.84747
431.jpg,18.52306,73.84747
432.jpg,18.52306,73.84747
433.jpg,18.52306,73.84747
434.jpg,18.52306,73.84747
435.jpg,18.52306,73.84747
436.jpg,18.52306,73.84747
437.jpg,18.52306,73.84747
438.jpg,18.52306,73.84747
439.jpg,18.52306,73.84747
44.jpg,18.52265,73.84201
440.jpg,18.52306,73.84747
441.jpg,18.52306,73.84747
442.jpg,18.52306,73.84747
443.jpg,18.52306,73.84747
444.jpg,18.52306,73.84747
445.jpg,18.52306,73.84747
446.jpg,18.52306,73.84747
447.jpg,18.52306,73.84747
448.jpg,18.52306,73.84747
449.jpg,18.52306,73.84747
45.jpg,18.52265,73.84201
450.jpg,18.52306,73.84747
451.jpg,18.52306,73.84747
452.jpg,18.52306,73.84747
453.jpg,18.52306,73.84747
454.jpg,18.52306,73.84747
455.jpg,18.52306,73.84747
46.jpg,18.52265,73.84201
47.jpg,18.52265,73.84201
472.jpg,18.52,73.85
473.jpg,18.52586,73.85149
474.jpg,18.52,73.84
475.jpg,18.52,73.84
476.jpg,18.52,73.84
477.jpg,18.52,73.84
478.jpg,18.52,73.84
479.jpg,18.52,73.84
48.jpg,18.52265,73.84201
480.jpg,18.52,73.84
481.jpg,18.52,73.84
482.jpg,18.52,73.84
483.jpg,18.52,73.84
484.jpg,18.52,73.84
485.jpg,18.52,73.84
486.jpg,18.52,73.84
487.jpg,18.52,73.84
488.jpg,18.52,73.84
489.jpg,18.52,73.84
49.jpg,18.52265,73.84201
490.jpg,18.52,73.84
491.jpg,18.52,73.84
492.jpg,18.52,73.84
493.jpg,18.52,73.84
494.jpg,18.52,73.84
495.jpg,18.52,73.84
496.jpg,18.52,73.84
497.jpg,18.52248,73.84946
498.jpg,18.52249,73.84939
499.jpg,18.52249,73.84939
5.jpg,18.52265,73.84201
50.jpg,18.52265,73.84201
500.jpg,18.52249,73.84939
501.jpg,18.52249,73.84939
502.jpg,18.52249,73.8494
503.jpg,18.52249,73.84937
504.jpg,18.52078,73.84981
505.jpg,18.52249,73.84939
506.jpg,18.52249,73.8494
507.jpg,18.52249,73.8494
508.jpg,18.52227,73.84938
509.jpg,18.52237,73.8494
51.jpg,18.52265,73.84201
510.jpg,18.52721,73.8516
511.jpg,18.52721,73.8516
512.jpg,18.52721,73.8516
513.jpg,18.52721,73.8516
514.jpg,18.52721,73.8516
515.jpg,18.52721,73.8516
516.jpg,18.52721,73.8516
517.jpg,18.52721,73.8516
518.jpg,18.52721,73.8516
519.jpg,18.52721,73.8516
52.jpg,18.52265,73.84201
520.jpg,18.52721,73.8516
521.jpg,18.52721,73.8516
522.jpg,18.52721,73.8516
523.jpg,18.52721,73.8516
524.jpg,18.52721,73.8516
525.jpg,18.52721,73.8516
526.jpg,18.52721,73.8516
527.jpg,18.52721,73.8516
528.jpg,18.52721,73.8516
529.jpg,18.52721,73.8516
53.jpg,18.52265,73.84201
530.jpg,18.52721,73.8516
531.jpg,18.52721,73.8516
532.jpg,18.52721,73.8516
533.jpg,18.52721,73.8516
534.jpg,18.52721,73.8516
535.jpg,18.52721,73.8516
536.jpg,18.52721,73.8516
537.jpg,18.52721,73.8516
538.jpg,18.52721,73.8516
539.jpg,18.52721,73.8516
54.jpg,18.52265,73.84201
540.jpg,18.52721,73.8516
541.jpg,18.52721,73.8516
542.jpg,18.52721,73.8516
543.jpg,18.52721,73.8516
544.jpg,18.52721,73.8516
545.jpg,18.52721,73.8516
546.jpg,18.52721,73.8516
547.jpg,18.52721,73.8516
548.jpg,18.52721,73.8516
549.jpg,18.52721,73.8516
55.jpg,18.52265,73.84201
550.jpg,18.52546,73.84769
551.jpg,18.52546,73.84769
552.jpg,18.52546,73.84769
553.jpg,18.52546,73.84769
554.jpg,18.52546,73.84769
555.jpg,18.52546,73.84769
556.jpg,18.52546,73.84769
557.jpg,18.52546,73.84769
558.jpg,18.52546,73.84769
559.jpg,18.52546,73.84769
56.jpg,18.52265,73.84201
560.jpg,18.52546,73.84769
561.jpg,18.52546,73.84769
562.jpg,18.52546,73.84769
